Index,TC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0,641.1835938,624.3511963,615.1467285,604.2926636,593.0960083,581.3731689,573.0802612,571.6956177,561.8546143,557.5437622,552.9469604,543.104187,530.9799805,518.4864502,499.8034668,479.8927307,462.749115,440.4030762,421.3172913,407.1253357,390.9259033,376.4615784,368.0140991,364.3514404,361.8572693,360.4912415,366.4877014,382.6913757,397.7973938,415.3199463,440.8423462,464.6957092,493.155365,523.1092529,543.1912842,562.5864258,569.6381836,573.6091309,561.8259277,555.2307739,538.9986572,513.9797974,494.1530762,460.6917419,429.2783203,405.6742554,383.8959045,364.4286499,344.8027954,332.8017273,318.8605652,308.234314,301.7927856,296.4606934,293.4802551,295.3909302,291.8882446,289.3853149,286.2438049,288.9764404,289.9933777,290.9678955,288.7773438,291.329071,287.0657959,288.624115,286.0397339,286.0280457,286.3208618,282.9851379,284.42453,288.2325439,291.0559692,298.7099609,305.3603821,310.5183411,319.8547058,325.8063965,327.9657288,329.4908752,327.9927368,319.998291,312.0314636,305.4581604,294.043457,285.4163818,271.6375122,263.1867676,252.8750305,249.0744476,242.7855682,235.4805603,228.8010712,220.9672089,211.660675,200.2991943,188.6367798,177.8572235,167.1428833,157.896225,144.2924194
1,0,631.8204346,621.1328125,607.2976074,600.0394897,588.375061,578.2711792,567.8980713,561.821228,560.8562622,557.5218506,547.7136841,540.032959,529.5495605,514.3093872,495.320343,475.2228699,460.6039734,441.6170349,422.0179749,404.7877197,387.1200256,376.4539795,368.0375366,361.1554565,359.3234863,358.2261047,368.699707,379.3911438,396.0387573,411.339386,437.4547729,461.5340881,489.2827759,518.0878296,541.2435303,560.1782837,563.9138184,568.305542,562.9786377,552.5719604,534.3255615,512.986145,486.9022522,460.5744324,427.9003906,401.3543701,379.8984985,362.3686829,343.633667,332.5769653,318.1508484,306.5827942,303.4140625,296.9935303,291.5756226,291.3864441,291.2283325,290.1634216,288.0061951,289.2470398,289.5402222,289.6254883,290.5952759,290.7368774,288.743988,285.9879456,284.6996155,284.7788696,284.5400085,280.4924622,281.6895447,286.4712524,290.2425842,293.2458496,301.6192322,310.7698364,318.3255005,326.9500122,328.5026855,327.4915771,326.2750244,318.9829102,312.9669495,303.2114868,291.9887695,284.0489807,274.523407,260.8695679,255.8136292,246.7587738,239.9886169,236.0886688,229.6340485,221.6194763,211.4577332,199.1199951,189.0786133,177.5661011,168.7208862,155.8587036,145.8215027
2,0,629.7337036,618.5471802,602.5899048,591.3651733,584.4523926,573.2131348,563.9825439,557.3639526,556.3029175,553.8066406,545.8286743,533.050415,525.1553345,508.1815186,490.5348206,472.4983521,456.1043701,436.5153503,416.8118591,401.2883606,387.5928345,373.9989929,366.1385193,361.3270874,357.2552185,353.8075867,363.4659119,376.417572,393.0167847,410.4141541,433.5412292,460.4010315,488.4564819,514.4732666,541.279541,557.1626587,563.510498,566.4772949,562.2420044,551.2230835,533.8287354,510.958313,489.8309631,457.4528503,429.5629883,403.9673157,378.2444763,361.8844299,345.3260803,331.5826721,318.1568604,309.2946472,298.4538269,296.1922302,296.5067444,291.0476379,290.2934265,290.5840759,286.5090332,285.9792786,289.416748,291.4160461,288.9250488,287.8269653,285.5509644,284.9968872,286.3468933,282.6817017,280.538269,281.1111145,283.4585876,287.7157898,292.3908081,295.6895752,301.6227417,309.6266174,315.9578857,323.7679749,329.1308899,325.949646,323.020813,317.8449097,311.647522,303.558197,292.4224243,282.8852844,271.1300964,258.4680786,251.3174744,244.6085815,240.7686462,234.5331879,225.9624939,219.0281982,208.1658936,198.1459808,186.2845612,176.4672699,164.3222198,155.984375,142.8913422
3,0,656.8452759,645.0879517,635.6442261,621.5792236,612.7834473,598.9005737,587.416626,583.8082275,580.5744019,574.0976563,567.3497314,558.5966797,550.3565063,534.126709,514.5515747,493.413208,476.8171082,455.3262634,436.590271,422.8812866,406.1474609,396.8522339,388.2912292,379.9546204,374.1004028,373.5551758,382.0976868,396.0585022,412.6593323,435.2249451,456.4609375,484.0267334,510.7888489,541.2635498,570.6674194,584.5046997,590.6749878,592.7687378,589.3895874,579.991394,561.3905029,541.1168823,514.7487183,483.6955566,451.0776978,422.808075,401.8334045,381.1565247,362.9723511,351.7603455,339.6808777,323.4857788,319.6296082,313.848053,316.3031921,311.23703,309.9182129,308.0441589,308.0455017,305.9177551,306.9465027,308.1550903,309.8589478,308.1266785,307.2316284,305.4103088,303.3873291,302.3972168,300.0761719,302.6663208,301.2706909,303.6428833,307.3085632,314.1957397,323.0200806,328.6030579,340.532074,342.7294922,347.4360046,346.3866577,347.1262512,342.4505005,333.1219177,322.8063965,313.335022,303.3579712,292.7217102,279.4666138,271.3912048,264.7366943,259.4371033,252.0947723,246.5722351,238.4265289,225.3966522,216.0027161,206.0992432,194.1181488,180.9235229,169.1712952,159.9199219
4,0,647.6295776,634.487915,625.3903809,610.5266113,603.4199219,591.2605591,584.1292114,579.0014038,573.0983887,571.0458374,564.3016968,554.4985352,544.7630615,524.4658813,507.2325439,490.7893982,471.491394,452.5281982,437.2820129,416.3611145,403.1772461,390.0503235,383.568573,376.6693726,373.2211304,372.074585,382.108429,395.1886597,408.6374817,427.4501038,452.8024597,479.6100769,506.2852478,536.6161499,562.3354492,582.7502441,589.8775635,591.5859375,588.3048096,576.4503174,557.4251099,531.9572144,511.4091187,482.8733521,449.7442932,423.2258606,399.8404236,382.6178284,365.0719299,353.4065247,340.1462708,326.8125,317.4605408,315.6939697,312.2498169,310.9257813,309.7596436,309.1925049,306.368042,308.4608765,308.4992371,311.9500732,310.8785706,306.904541,307.5578308,303.8570862,302.3006592,301.5592957,299.5093994,302.8245239,302.7477417,303.1872253,309.4468079,316.6123962,321.7639465,329.4881897,336.410675,342.5187378,348.5879211,348.0813599,345.7644348,340.7772827,330.9526367,321.4858398,311.5932922,302.4776001,291.6573181,277.3714294,268.8297119,262.6160583,259.3440247,251.5744629,244.845459,235.5916748,225.2007294,213.5603333,201.0618439,192.2086792,181.5606537,169.4493866,157.0873108
5,0,645.4243774,633.3825073,623.5797729,609.9072876,599.5282593,590.6089478,582.4119873,574.649353,569.7084961,568.4443359,564.3419189,550.2566528,540.6590576,526.7695923,505.5541992,490.3898926,469.9225769,451.3952637,433.334259,418.7704468,399.7486267,389.7286377,381.0358887,373.9628296,369.9345093,371.109375,377.989563,391.1550293,406.25354,423.6828613,450.9121399,480.894104,504.3201904,533.8528442,559.913147,578.3442993,582.456665,586.6611938,582.5462646,571.1806641,553.3638916,528.5065308,506.6892395,478.5835571,444.3831787,421.3638916,398.193634,375.4151611,361.9228821,349.180603,336.4382629,324.39505,318.6783752,312.3227844,311.5953064,307.6890869,307.4031372,307.1257324,305.2453613,305.3278503,306.5838013,307.632019,306.7892761,307.2325439,306.1716614,304.053009,301.6861877,302.007019,301.2865295,299.4085999,300.174408,302.7401428,306.8729553,313.8521729,320.1724854,329.1366882,335.6550903,344.0102844,345.6405945,345.1712036,343.0620117,336.835907,330.1418762,319.8766174,310.8833618,301.048584,289.7185669,277.071167,270.7189941,263.4794617,256.6132507,253.2760162,246.9104614,235.5415802,225.5985718,213.9962769,203.2870026,193.3943634,180.2466431,170.5168152,158.1578674
6,0,670.7919922,657.8891602,643.1991577,631.2418823,626.8195801,610.9940796,599.010376,598.1990967,594.7841797,589.2756348,581.5596313,576.0881958,560.4854736,545.9804077,528.2472534,503.4847412,490.3778381,466.1118164,449.7687988,432.3268127,416.7150879,403.5151978,395.9562073,388.0452271,387.5768738,385.7191772,395.8948669,410.0562439,422.8605347,443.9916077,466.7068787,496.3687134,521.8795166,552.6244507,582.8720093,597.7369995,603.4801636,611.0244751,605.2601929,591.3964233,577.7808838,551.1487427,526.3761597,497.4493408,465.3676147,437.756134,417.95578,396.1503296,377.3469849,367.5492859,352.2602844,342.4247131,333.6149902,331.5722351,327.8430786,325.1691284,323.3495789,324.0114441,323.1178589,324.348114,324.973999,321.9743347,322.3928833,324.0373535,319.5699158,320.5829163,318.495575,319.665863,315.7576599,314.6648254,316.2165222,321.3748779,325.5439148,329.1332397,338.065033,345.4821472,353.9680481,360.3278198,363.2798157,367.2784119,361.7072754,356.0756226,349.0997314,339.5064392,328.7951965,319.8479309,304.1126099,295.2905579,287.8919373,280.0895386,272.8793945,267.4685059,260.1689758,248.6403656,238.4359283,228.0336151,215.7047424,204.5906525,193.577652,181.4580078,170.3519897
7,0,665.5620117,647.3059692,641.9009399,624.4865723,621.6262817,605.5030518,592.7075806,590.5588989,585.0541992,581.1699219,574.1600342,569.229248,556.9210815,539.3499756,524.3815918,503.6829224,489.3293152,462.6501465,448.3934326,431.3664246,416.43573,405.0169067,393.1319275,387.4428101,382.9934387,385.3136292,394.4229736,404.5114746,424.934845,440.1458435,465.5468445,491.6699524,522.7705078,549.6658325,579.8178711,598.1206055,603.2720337,606.5661011,600.2786255,590.5847778,573.6463623,550.0670166,529.1885986,497.3722229,462.1147461,440.5289307,416.8994751,394.6537781,376.0852356,364.7645569,352.3786621,339.5095825,332.4500732,331.0390625,324.3037415,325.0220032,323.3047791,319.8809509,321.9074707,322.0632324,321.1603394,322.1616211,324.6975098,321.7931824,321.9545593,320.2000427,316.1672668,316.6407166,317.1497498,317.3370056,316.6785583,319.8787842,325.065033,330.0948792,336.8894653,346.9408264,353.9631042,358.4962158,363.2928467,362.7652283,360.8540649,355.478302,348.1087646,339.7701721,328.4542847,316.1897888,307.4093323,295.2321472,286.0458069,279.2625732,273.3359985,263.7273254,259.2819214,248.9056396,238.5732727,228.0450439,217.0839233,205.5907288,193.3288269,181.5033264,169.113678
8,0,656.7489624,645.6777954,633.5847168,622.8164063,607.3150635,601.8355103,590.2409668,586.7670898,579.8520508,579.7617798,572.8739624,563.8742676,553.2550659,538.3043823,517.0560303,499.9573059,481.3545227,460.7418518,443.7870789,426.1314087,409.771637,399.2984314,391.5946655,382.6617126,380.0216064,381.963501,391.6415405,402.4451904,424.2966919,440.5269775,464.0004578,492.2282104,517.4193115,550.2701416,576.9514771,592.9516602,597.4988403,601.3739014,596.7562256,586.9957886,569.4803467,546.927124,523.1662598,495.6053467,460.8639526,436.8757324,414.7389832,392.1789246,374.7538147,363.6299133,350.5647278,340.3746338,332.283783,327.817688,323.7533569,322.4575195,320.853302,319.8777161,320.5627747,320.1990051,319.4591064,319.2175903,323.8697205,321.9669495,320.8659668,317.4346924,316.3457031,315.7367554,317.9503784,313.2257996,312.3343811,318.9867859,321.0976868,329.7821655,337.1032104,344.4788208,349.6916809,356.2208557,362.1274414,359.9490051,355.6899109,353.384613,345.9454651,336.2712708,326.2619934,315.6424255,302.5141907,291.5218506,285.0657043,273.9593811,270.4764709,260.9787598,258.0508728,247.7259216,239.3856201,227.5584412,216.2269135,203.1333923,192.5491333,182.9211426,169.8362732
9,0,653.4797974,642.7035522,631.3240356,618.1252441,610.6533203,596.3249512,591.8148804,587.0899048,581.5588989,578.2763062,572.5772095,562.5026855,550.4986572,536.8234863,519.7876587,502.9505615,484.4936829,464.7290344,446.3733215,429.6908264,415.0655518,405.6222839,398.5812378,392.7444458,390.0687866,389.638916,399.1816406,410.7052002,425.835022,452.0103455,474.2406921,499.8714294,528.4204102,557.7092896,583.3724976,603.0651855,613.6473389,614.4122314,611.2341919,597.8220825,582.7335205,564.0772705,538.9348755,507.9286194,472.0392456,453.530426,427.8357849,409.4897766,391.509491,379.2201233,367.0825195,357.7859497,351.3095703,343.8910828,343.7632446,342.7973938,341.093689,338.4240112,337.9240417,341.0868835,340.9767761,342.770752,343.1828003,340.8380432,341.1188354,339.9330139,339.7294312,336.7062988,336.0712891,336.3602905,337.1170044,341.6736145,342.4576721,352.1168518,356.1151123,362.8517151,370.4241333,377.5232239,382.4414673,381.648407,381.7605896,370.6826172,365.2735291,358.4480591,346.8549805,338.625061,323.6302795,313.6557617,306.6502991,298.0852661,293.8313293,283.609314,278.2484741,270.5412292,260.6026001,247.8141632,236.9600067,223.5479736,214.1262817,201.8417816,190.8039093
