Epoch 97: Train Loss: 0.4253, Train Accuracy: 0.8405
Epoch 98: Train Loss: 0.4167, Train Accuracy: 0.8143
Epoch 99: Train Loss: 0.4145, Train Accuracy: 0.8167
Epoch 100: Train Loss: 0.4098, Train Accuracy: 0.8286
Epoch 101: Train Loss: 0.4086, Train Accuracy: 0.8429
Epoch 102: Train Loss: 0.4078, Train Accuracy: 0.8167
Epoch 103: Train Loss: 0.4026, Train Accuracy: 0.8190
Epoch 104: Train Loss: 0.4008, Train Accuracy: 0.8262
Epoch 105: Train Loss: 0.3965, Train Accuracy: 0.8214
Epoch 106: Train Loss: 0.3924, Train Accuracy: 0.8286
Epoch 107: Train Loss: 0.3899, Train Accuracy: 0.8286
Epoch 108: Train Loss: 0.3838, Train Accuracy: 0.8524
Epoch 109: Train Loss: 0.3815, Train Accuracy: 0.8357
Epoch 110: Train Loss: 0.3786, Train Accuracy: 0.8405
Epoch 111: Train Loss: 0.3754, Train Accuracy: 0.8595
Epoch 112: Train Loss: 0.3743, Train Accuracy: 0.8524
Epoch 113: Train Loss: 0.3706, Train Accuracy: 0.8405
Epoch 114: Train Loss: 0.3683, Train Accuracy: 0.8429
Epoch 115: Train Loss: 0.3653, Train Accuracy: 0.8405
Epoch 116: Train Loss: 0.3634, Train Accuracy: 0.8619
Epoch 117: Train Loss: 0.3613, Train Accuracy: 0.8571
Epoch 118: Train Loss: 0.3583, Train Accuracy: 0.8524
Epoch 119: Train Loss: 0.3563, Train Accuracy: 0.8548
Epoch 120: Train Loss: 0.3538, Train Accuracy: 0.8738
Epoch 121: Train Loss: 0.3521, Train Accuracy: 0.8810
Epoch 122: Train Loss: 0.3494, Train Accuracy: 0.8738
Epoch 123: Train Loss: 0.3473, Train Accuracy: 0.8857
Epoch 124: Train Loss: 0.3454, Train Accuracy: 0.8881
Epoch 125: Train Loss: 0.3433, Train Accuracy: 0.8833
Epoch 126: Train Loss: 0.3412, Train Accuracy: 0.8643
Epoch 127: Train Loss: 0.3389, Train Accuracy: 0.8881
Epoch 128: Train Loss: 0.3367, Train Accuracy: 0.8952
Epoch 129: Train Loss: 0.3346, Train Accuracy: 0.8952
Epoch 130: Train Loss: 0.3324, Train Accuracy: 0.8786
Epoch 131: Train Loss: 0.3306, Train Accuracy: 0.8952
Epoch 132: Train Loss: 0.3284, Train Accuracy: 0.8929
Epoch 133: Train Loss: 0.3261, Train Accuracy: 0.8929
Epoch 134: Train Loss: 0.3238, Train Accuracy: 0.8762
Epoch 135: Train Loss: 0.3221, Train Accuracy: 0.8857
Epoch 136: Train Loss: 0.3223, Train Accuracy: 0.8714
Epoch 137: Train Loss: 0.3254, Train Accuracy: 0.8786
Epoch 138: Train Loss: 0.3247, Train Accuracy: 0.8714
Epoch 139: Train Loss: 0.3201, Train Accuracy: 0.9000
Epoch 140: Train Loss: 0.3125, Train Accuracy: 0.9071
Epoch 141: Train Loss: 0.3149, Train Accuracy: 0.8714
Epoch 142: Train Loss: 0.3176, Train Accuracy: 0.9000
Epoch 143: Train Loss: 0.3073, Train Accuracy: 0.9048
Epoch 144: Train Loss: 0.3070, Train Accuracy: 0.8786
Epoch 145: Train Loss: 0.3083, Train Accuracy: 0.8762
Epoch 146: Train Loss: 0.3039, Train Accuracy: 0.9024
Epoch 147: Train Loss: 0.2990, Train Accuracy: 0.8810
Epoch 148: Train Loss: 0.2985, Train Accuracy: 0.9000
Epoch 149: Train Loss: 0.2991, Train Accuracy: 0.8952
Epoch 150: Train Loss: 0.2951, Train Accuracy: 0.8976
Epoch 151: Train Loss: 0.2941, Train Accuracy: 0.8952
Epoch 152: Train Loss: 0.2940, Train Accuracy: 0.8929
Epoch 153: Train Loss: 0.2902, Train Accuracy: 0.8929
Epoch 154: Train Loss: 0.2885, Train Accuracy: 0.9048
Epoch 155: Train Loss: 0.2876, Train Accuracy: 0.9071
Epoch 156: Train Loss: 0.2851, Train Accuracy: 0.9071
Epoch 157: Train Loss: 0.2829, Train Accuracy: 0.9190
Epoch 158: Train Loss: 0.2827, Train Accuracy: 0.9095
Epoch 159: Train Loss: 0.2821, Train Accuracy: 0.9238
Epoch 160: Train Loss: 0.2791, Train Accuracy: 0.9238
Epoch 161: Train Loss: 0.2776, Train Accuracy: 0.9071
Epoch 162: Train Loss: 0.2770, Train Accuracy: 0.9262
Epoch 163: Train Loss: 0.2746, Train Accuracy: 0.9167
Epoch 164: Train Loss: 0.2725, Train Accuracy: 0.9214
Epoch 165: Train Loss: 0.2711, Train Accuracy: 0.9214
Epoch 166: Train Loss: 0.2700, Train Accuracy: 0.9167
Epoch 167: Train Loss: 0.2688, Train Accuracy: 0.9190
Epoch 168: Train Loss: 0.2670, Train Accuracy: 0.9214
Epoch 169: Train Loss: 0.2656, Train Accuracy: 0.9238
Epoch 170: Train Loss: 0.2648, Train Accuracy: 0.9262
Epoch 171: Train Loss: 0.2633, Train Accuracy: 0.9238
Epoch 172: Train Loss: 0.2615, Train Accuracy: 0.9333
Epoch 173: Train Loss: 0.2601, Train Accuracy: 0.9310
Epoch 174: Train Loss: 0.2589, Train Accuracy: 0.9310
Epoch 175: Train Loss: 0.2577, Train Accuracy: 0.9262
Epoch 176: Train Loss: 0.2565, Train Accuracy: 0.9333
Epoch 177: Train Loss: 0.2550, Train Accuracy: 0.9286
Epoch 178: Train Loss: 0.2535, Train Accuracy: 0.9310
Epoch 179: Train Loss: 0.2524, Train Accuracy: 0.9333
Epoch 180: Train Loss: 0.2514, Train Accuracy: 0.9286
Epoch 181: Train Loss: 0.2508, Train Accuracy: 0.9286
Epoch 182: Train Loss: 0.2500, Train Accuracy: 0.9310
Epoch 183: Train Loss: 0.2487, Train Accuracy: 0.9357
Epoch 184: Train Loss: 0.2469, Train Accuracy: 0.9310
Epoch 185: Train Loss: 0.2452, Train Accuracy: 0.9310
Epoch 186: Train Loss: 0.2439, Train Accuracy: 0.9405
Epoch 187: Train Loss: 0.2430, Train Accuracy: 0.9357
Epoch 188: Train Loss: 0.2422, Train Accuracy: 0.9357
Epoch 189: Train Loss: 0.2414, Train Accuracy: 0.9381
Epoch 190: Train Loss: 0.2403, Train Accuracy: 0.9381
Epoch 191: Train Loss: 0.2389, Train Accuracy: 0.9405
Epoch 192: Train Loss: 0.2373, Train Accuracy: 0.9429
Epoch 193: Train Loss: 0.2359, Train Accuracy: 0.9381
Epoch 194: Train Loss: 0.2347, Train Accuracy: 0.9405
Epoch 195: Train Loss: 0.2336, Train Accuracy: 0.9429
Epoch 196: Train Loss: 0.2326, Train Accuracy: 0.9405
Epoch 197: Train Loss: 0.2319, Train Accuracy: 0.9429
Epoch 198: Train Loss: 0.2312, Train Accuracy: 0.9429
Epoch 199: Train Loss: 0.2310, Train Accuracy: 0.9333
Epoch 200: Train Loss: 0.2309, Train Accuracy: 0.9381
Epoch 201: Train Loss: 0.2311, Train Accuracy: 0.9190
Epoch 202: Train Loss: 0.2313, Train Accuracy: 0.9238
Epoch 203: Train Loss: 0.2302, Train Accuracy: 0.9357
Epoch 204: Train Loss: 0.2274, Train Accuracy: 0.9476
Epoch 205: Train Loss: 0.2244, Train Accuracy: 0.9452
Epoch 206: Train Loss: 0.2231, Train Accuracy: 0.9429
Epoch 207: Train Loss: 0.2234, Train Accuracy: 0.9452
Epoch 208: Train Loss: 0.2239, Train Accuracy: 0.9357
Epoch 209: Train Loss: 0.2230, Train Accuracy: 0.9524
Epoch 210: Train Loss: 0.2213, Train Accuracy: 0.9500
Epoch 211: Train Loss: 0.2192, Train Accuracy: 0.9524
Epoch 212: Train Loss: 0.2179, Train Accuracy: 0.9571
Epoch 213: Train Loss: 0.2177, Train Accuracy: 0.9452
Epoch 214: Train Loss: 0.2177, Train Accuracy: 0.9548
Epoch 215: Train Loss: 0.2169, Train Accuracy: 0.9476
Epoch 216: Train Loss: 0.2155, Train Accuracy: 0.9571
Epoch 217: Train Loss: 0.2142, Train Accuracy: 0.9619
Epoch 218: Train Loss: 0.2132, Train Accuracy: 0.9595
Epoch 219: Train Loss: 0.2125, Train Accuracy: 0.9595
Epoch 220: Train Loss: 0.2121, Train Accuracy: 0.9548
Epoch 221: Train Loss: 0.2116, Train Accuracy: 0.9595
Epoch 222: Train Loss: 0.2110, Train Accuracy: 0.9571
Epoch 223: Train Loss: 0.2099, Train Accuracy: 0.9595
Epoch 224: Train Loss: 0.2089, Train Accuracy: 0.9619
Epoch 225: Train Loss: 0.2079, Train Accuracy: 0.9619
Epoch 226: Train Loss: 0.2071, Train Accuracy: 0.9619
Epoch 227: Train Loss: 0.2064, Train Accuracy: 0.9619
Epoch 228: Train Loss: 0.2058, Train Accuracy: 0.9619
Epoch 229: Train Loss: 0.2052, Train Accuracy: 0.9619
Epoch 230: Train Loss: 0.2047, Train Accuracy: 0.9619
Epoch 231: Train Loss: 0.2042, Train Accuracy: 0.9571
Epoch 232: Train Loss: 0.2036, Train Accuracy: 0.9619
Epoch 233: Train Loss: 0.2032, Train Accuracy: 0.9548
Epoch 234: Train Loss: 0.2029, Train Accuracy: 0.9595
Epoch 235: Train Loss: 0.2025, Train Accuracy: 0.9548
Epoch 236: Train Loss: 0.2023, Train Accuracy: 0.9571
Epoch 237: Train Loss: 0.2018, Train Accuracy: 0.9500
Epoch 238: Train Loss: 0.2015, Train Accuracy: 0.9619
